hengzhou,method,HR,,,,,,,,
0,Yelp,0.2196,,,,,,,,
1,Yelp,0.2705,,,,,,,,
2,Yelp,0.2787,,,,,,,,
3,Yelp,0.2795,,,,,,,,
4,Yelp,0.2752,,,,,,,,
5,Yelp,0.2593,,,,,,,,
0,Netflix,0.2106,,,,,,,,
1,Netflix,0.4733,,,,,,,,
2,Netflix,0.5103,,,,,,,,
3,Netflix,0.5137,,,,,,,,
4,Netflix,0.5189,,,,,,,,
5,Netflix,0.5051,,,,,,,,
0,MovieLens,0.2789,,,,,,,,
1,MovieLens,0.4284,,,,,,,,
2,MovieLens,0.4496,,,,,,,,
3,MovieLens,0.4348,,,,,,,,
4,MovieLens,0.438,,,,,,,,
5,MovieLens,0.4581,,,,,,,,
0,Last.fm,0.346,,,,,,,,
1,Last.fm,0.3709,,,,,,,,
2,Last.fm,0.398,,,,,,,,
3,Last.fm,0.4002,,,,,,,,
4,Last.fm,0.385,,,,,,,,
5,Last.fm,0.3547,,,,,,,,
